tenant,Hot,Monthly,Blob,Total January,Allowance,Excess,Total January,Growth,,,Decrease
apagroup,1872.77,2916.1,9036.19," 13,825.06 "," 3,000.00 "," 10,825.06 "," 13,204.42 ", 620.64 ,,,
auswide,160.72,339.84,17025.85," 17,526.41 ", 550.00 ," 16,976.41 "," 17,240.05 ", 286.36 ,,,
ccu,28.37,55.26,323.36, 406.99 , 550.00 ,-143.01 , 410.19 ,-3.20 ,,,
chw,186.99,328.8,986.84," 1,502.63 ", 550.00 , 952.63 ," 1,627.20 ",-124.57 ,,,
cusa,147.96,294.39,916.89," 1,359.24 ", 550.00 , 809.24 ," 1,376.28 ",-17.04 ,,,
dairyfarm,6263.01,11966.14,55874.35," 74,103.50 "," 18,000.00 "," 56,103.50 "," 62,574.19 "," 11,529.31 ",,,
dulux,1882.78,3614.31,10879.9," 16,376.99 "," 4,000.00 "," 12,376.99 "," 15,376.02 "," 1,000.97 ",,,
endeavour,1323.02,2598.03,7383.14," 11,304.19 "," 4,000.00 "," 7,304.19 "," 10,815.65 ", 488.54 ,,,
enstar,1009.6,2125.58,6935.83," 10,071.01 "," 7,000.00 "," 3,071.01 "," 7,842.33 "," 2,228.68 ",,,
goodmanfielder,29.8,65.1,192.04, 286.94 , 550.00 ,-263.06 , 291.09 ,-4.15 ,,,
idemitsu,441.68,664.18,1754.62," 2,860.48 ", 550.00 ," 2,310.48 "," 2,461.90 ", 398.58 ,,,
intellihub,52.98,54.86,3376.59," 3,484.43 "," 1,500.00 "," 1,984.43 "," 3,428.58 ", 55.85 ,,,
ipswichcc,674.79,1501.21,6997.81," 9,173.81 "," 3,000.00 "," 6,173.81 "," 11,941.56 ","-2,767.75 ",,,
ir,122.08,131.13,411.59, 664.80 ," 1,500.00 ",-835.20 , 711.40 ,-46.60 ,,,
nspcc,1560.43,2292.02,6008.51," 9,860.96 ", 550.00 ," 9,310.96 "," 8,561.83 "," 1,299.13 ",,,
nzwaste,259.37,747.98,2527.85," 3,535.20 "," 1,500.00 "," 2,035.20 "," 3,732.91 ",-197.71 ,,,
qudos,455.56,1312.68,20925.35," 22,693.59 ", 550.00 ," 22,143.59 "," 20,708.61 "," 1,984.98 ",,,
rbnz,871.25,1404.54,4024.5," 6,300.29 "," 3,000.00 "," 3,300.29 "," 5,849.61 ", 450.68 ,,,
rfg,167.2,257.02,803.59," 1,227.81 "," 1,500.00 ",-272.19 ," 1,254.28 ",-26.47 ,,,
silk,385.36,1780.91,5110.34," 7,276.61 ", 550.00 ," 6,726.61 "," 7,211.15 ", 65.46 ,,,
stowe,548.7,945.81,2916.63," 4,411.14 ", 550.00 ," 3,861.14 "," 4,226.51 ", 184.63 ,,,
swick,55.86,69.79,206.63, 332.28 , 550.00 ,-217.72 , 329.56 , 2.72 ,,,
tcba,1351.6,2974.98,35419.29," 39,745.87 ", -   ," 39,745.87 "," 36,874.19 "," 2,871.68 ",,,
telstrasuper,199.45,543.21,16730.62," 17,473.28 "," 1,500.00 "," 15,973.28 "," 18,849.12 ","-1,375.84 ",,,
toowoombarc,2356.05,4471.85,13234.11," 20,062.01 "," 1,500.00 "," 18,562.01 "," 20,268.51 ",-206.50 ,,,
ttgroup,529.13,445.77,1449.8," 2,424.70 ", 550.00 ," 1,874.70 "," 2,291.91 ", 132.79 ,,,
ttline,281.37,643.66,2342.63," 3,267.66 ", 550.00 ," 2,717.66 "," 3,710.72 ",-443.06 ,,,
vfmc,154.37,349.8,5850.06," 6,354.23 "," 1,500.00 "," 4,854.23 "," 6,026.51 ", 327.72 ,,,
villamaria,83.08,119.59,366.54, 569.21 , 550.00 , 19.21 , 533.45 , 35.76 ,,,
vodafonenz,4467.33,7330.97,271383.17," 283,181.47 "," 3,000.00 "," 280,181.47 "," 275,145.71 "," 8,035.76 ",,,
wise,51.97,62.39,185.32, 299.68 , 550.00 ,-250.32 , 291.62 , 8.06 ,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
