tenant,Hot,Monthly,Blob,Total March,Allowance,Excess,Total February,Growth,,,Decrease
apagroup,2862.08,4275.69,10706.07," 17,843.84 "," 3,000.00 "," 14,843.84 "," 15,328.11 "," 2,515.73 ",,,
auswide,170.82,366.36,17712.32," 18,249.50 ", 550.00 ," 17,699.50 "," 17,951.97 ", 297.53 ,,,
ccu,81.46,213.24,535.81, 830.51 , 550.00 , 280.51 , 589.79 , 240.72 ,,,
chw,201.54,372.64,1061.45," 1,635.63 ", 550.00 ," 1,085.63 "," 1,781.14 ",-145.51 ,,,
cusa,174.98,315.2,908.77," 1,398.95 ", 550.00 , 848.95 ," 1,413.85 ",-14.90 ,,,
dairyfarm,5575.93,11798.91,63884.63," 81,259.47 "," 18,000.00 "," 63,259.47 "," 76,740.55 "," 4,518.92 ",,,
dulux,2258.36,4139.72,11620.64," 18,018.72 "," 4,000.00 "," 14,018.72 "," 16,898.47 "," 1,120.25 ",,,
endeavour,1504.77,3029.5,8336.4," 12,870.67 "," 4,000.00 "," 8,870.67 "," 12,034.67 ", 836.00 ,,,
enstar,879.28,1678.56,9494.88," 12,052.72 "," 7,000.00 "," 5,052.72 "," 10,893.18 "," 1,159.54 ",,,
goodmanfielder,18.9,47.6,166.95, 233.45 , 550.00 ,-316.55 , 289.04 ,-55.59 ,,,
idemitsu,456.07,728.81,2007.72," 3,192.60 ", 550.00 ," 2,642.60 "," 2,875.11 ", 317.49 ,,,
intellihub,80.58,128.35,3609.86," 3,818.79 "," 1,500.00 "," 2,318.79 "," 3,712.30 ", 106.49 ,,,
ipswichcc,510.52,1530.23,4496.05," 6,536.80 "," 3,000.00 "," 3,536.80 "," 6,654.20 ",-117.40 ,,,
ir,51.45,65.89,311.43, 428.77 ," 1,500.00 ","-1,071.23 ", 675.79 ,-247.02 ,,,
nspcc,1701.99,2428.71,6735.82," 10,866.52 ", 550.00 ," 10,316.52 "," 10,121.61 ", 744.91 ,,,
nzwaste,404.41,859.32,2274.51," 3,538.24 "," 1,500.00 "," 2,038.24 "," 3,416.21 ", 122.03 ,,,
qudos,363.18,786.1,23555.02," 24,704.30 ", 550.00 ," 24,154.30 "," 24,967.82 ",-263.52 ,,,
rbnz,840.79,1582.54,4416.36," 6,839.69 "," 3,000.00 "," 3,839.69 "," 6,549.47 ", 290.22 ,,,
rfg,179.38,317.32,861.77," 1,358.47 "," 1,500.00 ",-141.53 ," 1,411.68 ",-53.21 ,,,
silk,292.97,585.5,2916.33," 3,794.80 ", 550.00 ," 3,244.80 "," 5,242.17 ","-1,447.37 ",,,
stowe,564.51,1115.31,3071.94," 4,751.76 ", 550.00 ," 4,201.76 "," 4,622.31 ", 129.45 ,,,
swick,53.62,73.65,214.52, 341.79 , 550.00 ,-208.21 , 375.04 ,-33.25 ,,,
tcba,1617.58,3330.11,41627.8," 46,575.49 ", -   ," 46,575.49 "," 42,766.19 "," 3,809.30 ",,,
telstrasuper,346.32,873.3,16704.26," 17,923.88 "," 1,500.00 "," 16,423.88 "," 18,777.00 ",-853.12 ,,,
toowoombarc,2765.74,4343.25,12769.82," 19,878.81 "," 1,500.00 "," 18,378.81 "," 19,202.35 ", 676.46 ,,,
ttgroup,465.32,416.12,1262.01," 2,143.45 ", 550.00 ," 1,593.45 "," 2,221.46 ",-78.01 ,,,
ttline,299.67,716.25,1918.82," 2,934.74 ", 550.00 ," 2,384.74 "," 3,019.48 ",-84.74 ,,,
vfmc,258.71,453.96,6659.26," 7,371.93 "," 1,500.00 "," 5,871.93 "," 6,768.61 ", 603.32 ,,,
villamaria,109.03,159.91,404.28, 673.22 , 550.00 , 123.22 , 653.55 , 19.67 ,,,
vodafonenz,5862.09,9840.01,289968.33," 305,670.43 "," 3,000.00 "," 302,670.43 "," 294,640.54 "," 11,029.89 ",,,
wise,255.75,814.97,3794.62," 4,865.34 ", 550.00 ," 4,315.34 "," 6,227.25 ","-1,361.91 ",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
